OBJECTID,CTY20CD,CTY20NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
1,E10000003,Cambridgeshire,520312,273864,-0.23506,52.34966,3052514926,507389.7256
2,E10000006,Cumbria,341868,527180,-2.90213,54.63638,6823531548,1026767.968
3,E10000007,Derbyshire,426752,353556,-1.6021,53.07858,2550760412,469090.5897
4,E10000008,Devon,283143,93085,-3.65698,50.72558,6566776505,1113968.564
5,E10000011,East Sussex,564123,117996,0.334559,50.93805,1712766561,353073.5404
6,E10000012,Essex,575270,215407,0.54106,51.80982,3465997215,1736676.284
7,E10000013,Gloucestershire,389595,213465,-2.15235,51.81971,2652532061,535353.7957
8,E10000014,Hampshire,452859,127536,-1.24735,51.04474,3678348818,787495.5834
9,E10000015,Hertfordshire,518883,213642,-0.27699,51.80879,1643064816,302891.3202
10,E10000016,Kent,590249,147268,0.72137,51.19295,3545511160,781683.2184
11,E10000017,Lancashire,369784,440758,-2.46091,53.86216,2895192681,1002740.627
12,E10000018,Leicestershire,442147,310191,-1.3779,52.68779,2083789169,378751.6881
13,E10000019,Lincolnshire,517984,358539,-0.23884,53.11102,5937337419,1307188.526
14,E10000020,Norfolk,600549,312292,0.964714,52.67123,5385165975,1501230.634
15,E10000021,Northamptonshire,477359,268708,-0.86668,52.31105,2366990168,380408.9361
16,E10000023,North Yorkshire,429509,466515,-1.55032,54.09371,8039963459,872389.9145
17,E10000024,Nottinghamshire,466570,359496,-1.00656,53.1285,2084710835,387061.6068
18,E10000025,Oxfordshire,448985,208334,-1.29146,51.77155,2605947802,413241.6432
19,E10000027,Somerset,309300,131077,-3.29595,51.07182,3451783934,543693.0253
20,E10000028,Staffordshire,398243,334651,-2.02756,52.9093,2623316410,502018.2743
21,E10000029,Suffolk,608219,266120,1.04919,52.25385,3801362398,866907.1387
22,E10000030,Surrey,515966,153408,-0.33911,51.26803,1670072914,273588.9073
23,E10000031,Warwickshire,429584,253588,-1.56874,52.17977,1977520452,397521.2096
24,E10000032,West Sussex,508316,118010,-0.45933,50.95134,1991051367,547207.1075
25,E10000034,Worcestershire,385792,257203,-2.20935,52.21287,1740514193,372990.6331
